job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
104,0.1559,0.004,0.1599,0.0288,0.9749843652282678,0.025015634771732336,8.5236,2.4026,9.5237,1.0001,0.0,0.0,0.0,9.5237,2.4025999999999996,11.9263,12.429
105,0.1616,0.0,0.1616,0.0291,1.0,0.0,9.4344,0.0252,9.4345,0.0001,0.0,0.0,0.0,9.4345,0.025199999999999997,9.4597,9.4626
106,0.2551,0.0065,0.2616,0.0471,0.9751529051987767,0.02484709480122324,14.1288,4.1197,22.1292,8.0004,0.0,0.0,0.0,22.129199999999997,4.1197,26.2489,27.2511
107,0.2308,0.0075,0.2383,0.0429,0.9685270667226186,0.03147293327738145,12.4608,5.1668,13.4604,0.9996,0.0,0.0,0.0,13.460399999999996,5.1668,18.627199999999995,19.1282
108,0.0654,0.0,0.0655,0.0118,0.998473282442748,0.0,3.624,0.0257,3.6239,0.0,0.0,0.0,0.0,3.6239,0.0257,3.6496,3.6524
109,0.161,0.0003,0.1613,0.029,0.9981401115933044,0.001859888406695598,8.9184,0.1757,8.9179,0.0,0.0,0.0,0.0,8.9179,0.1757,9.0936,9.0952
110,0.1046,0.0,0.1046,0.0188,1.0,0.0,5.8668,0.0165,5.8663,0.0,0.0,0.0,0.0,5.866300000000001,0.016499999999999997,5.8828000000000005,5.8854
111,0.3623,0.0019,0.3642,0.0656,0.9947830862163646,0.005216913783635365,20.0652,1.2778,21.0657,1.0005,0.0,0.0,0.0,21.0657,1.2778,22.3435,22.8411
112,0.2535,0.0121,0.2656,0.0478,0.9544427710843374,0.04555722891566265,13.6884,7.7217,14.688,0.9996,0.0,0.0,0.0,14.688,7.721699999999999,22.4097,22.9119
113,0.2884,0.0033,0.2918,0.0525,0.9883481836874571,0.011309115832762166,16.614,2.2381,17.6137,0.9997,0.0,0.0,0.0,17.613699999999998,2.2381,19.851799999999997,19.8503
114,0.2864,0.0001,0.2864,0.0516,1.0,0.00034916201117318437,15.2724,0.0472,15.2728,0.0004,0.0,0.0,0.0,15.2728,0.0472,15.32,15.3151
115,0.0738,0.0067,0.0805,0.0145,0.9167701863354037,0.08322981366459628,4.0368,4.225,5.0368,1.0,0.0,0.0,0.0,5.036800000000001,4.225,9.261800000000001,9.261
116,0.3175,0.0002,0.3177,0.0572,0.9993704752911553,0.0006295247088448223,18.5364,0.1118,18.5364,0.0,0.0,0.0,0.0,18.5364,0.11180000000000001,18.6482,18.6467
117,0.2091,0.0124,0.2215,0.0399,0.944018058690745,0.05598194130925507,11.7324,7.9226,14.7325,3.0001,0.0,0.0,0.0,14.732500000000002,7.9226,22.6551,22.6574
118,0.1311,0.0011,0.1322,0.0238,0.991679273827534,0.00832072617246596,6.8232,0.7072,7.8234,1.0002,0.0,0.0,0.0,7.8233999999999995,0.7071999999999999,8.5306,8.5335
119,0.0748,0.0122,0.087,0.0157,0.8597701149425289,0.14022988505747128,4.0368,7.3372,11.0368,7.0,0.0,0.0,0.0,11.036799999999998,7.337200000000001,18.374,18.8701
120,0.2659,0.0008,0.2667,0.048,0.997000374953131,0.0029996250468691415,14.9172,0.5239,15.9172,1.0,0.0,0.0,0.0,15.917200000000001,0.5239,16.441100000000002,16.4401
121,0.1153,0.0003,0.1156,0.0208,0.9974048442906575,0.0025951557093425604,6.8232,0.1728,6.8235,0.0003,0.0,0.0,0.0,6.823499999999999,0.1728,6.996299999999999,6.9962
122,0.3696,0.0013,0.3709,0.0668,0.9964950121326502,0.0035049878673496897,20.4708,0.7483,21.4702,0.9994,0.0,0.0,0.0,21.4702,0.7483,22.2185,22.2196
123,0.1208,0.0041,0.1249,0.0225,0.967173738991193,0.03282626100880705,6.6888,2.7008,6.6887,0.0,0.0,0.0,0.0,6.688700000000001,2.7007999999999996,9.3895,9.8931
124,0.2948,0.0012,0.296,0.0533,0.995945945945946,0.004054054054054054,15.9216,0.7827,15.9216,0.0,0.0,0.0,0.0,15.921600000000002,0.7827,16.7043,16.7084
125,0.0815,0.0007,0.0822,0.0148,0.9914841849148419,0.00851581508515815,4.6344,0.4141,5.6342,0.9998,0.0,0.0,0.0,5.634199999999999,0.4140999999999999,6.048299999999999,6.0476
